id,State,Average Temperature
1,Alabama,62.8
2,Alaska,26.6
3,Arizona,60.3
4,Arkansas,60.4
5,California,59.4
6,Colorado,45.1
7,Connecticut,49.0
8,Delaware,55.3
9,Florida,70.7
10,Georgia,63.5
11,Hawaii,70.0
12,Idaho,44.4
13,Illinois,51.8
14,Indiana,51.7
15,Iowa,47.8
16,Kansas,54.3
17,Kentucky,55.6
18,Louisiana,66.4
19,Maine,41.0
20,Maryland,54.2
21,Massachusetts,47.9
22,Michigan,44.4
23,Minnesota,41.2
24,Mississippi,63.4
25,Missouri,54.5
26,Montana,42.7
27,Nebraska,48.8
28,Nevada,49.9
29,New Hampshire,43.8
30,New Jersey,52.7
31,New Mexico,53.4
32,New York,45.4
33,North Carolina,59.0
34,North Dakota,40.4
35,Ohio,50.7
36,Oklahoma,59.6
37,Oregon,48.4
38,Pennsylvania,48.8
39,Rhode Island,50.1
40,South Carolina,62.4
41,South Dakota,45.2
42,Tennessee,57.6
43,Texas,64.8
44,Utah,48.6
45,Vermont,42.9
46,Virginia,55.1
47,Washington,48.3
48,West Virginia,51.8
49,Wisconsin,43.1
50,Wyoming,42.0
